Tên,Giá,Link,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Bộ nhớ trong,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Dung lượng RAM,Pin,Tương thích,Cảm biến
iPhone 14 128GB  | Chính hãng VN/A,13.990.000đ,https://cellphones.com.vn/iphone-14.html,6.1 inches,OLED,"Camera góc rộng: 12MP, ƒ/1.5Camera góc siêu rộng: 12MP, ƒ/2.4","12MP, ƒ/1.9",Apple A15 Bionic 6 nhân,Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS 16,2532 x 1170 pixels,"Tần số quét 60Hz, 1200 nits, Kính cường lực Ceramic Shield,  Super Retina XDR",3.22 GHz,6 GB,"3,279mAh",,
Nubia V80 Max 8GB 256GB,4.190.000đ,https://cellphones.com.vn/dien-thoai-nubia-v80-max.html,6.9 inches,IPS LCD,50 MP + 2 MP + 0.08 MP,16 MP,Unisoc T7250,Có,256 GB,2 Nano-SIM,,,Tần số quét 120Hz,,8 GB,6000 mAh,,
iPhone 15 256GB | Chính hãng VN/A,20.790.000đ,https://cellphones.com.vn/iphone-15-256gb.html,6.1 inches,Super Retina XDR OLED,Chính 48 MP & Phụ 12 MP,"12MP, ƒ/1.9",Apple A16 Bionic 6 nhân,Có,256 GB,2 SIM (nano‑SIM và eSIM),iOS 17,2556 x 1179 pixels,Dynamic Island HDR display True Tone Wide color (P3) Haptic TouchLớp phủ oleophobia chống dấu vân tayĐộ sáng tối đa: 2000 nitsMặt kính cảm ứng: Kính cường lực Ceramic ShieldTần số quét 60 Hz,CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,6 GB,3349 mAh,,
iPhone 13 128GB | Chính hãng VN/A,11.990.000đ,https://cellphones.com.vn/iphone-13.html,6.1 inches,Super Retina XDR OLED,"Camera góc rộng: 12MP, f/1.6  Camera góc siêu rộng: 12MP, ƒ/2.4","12MP, f/2.2",Apple A15,Có,128 GB,2 SIM (nano‑SIM và eSIM),iOS 15,2532 x 1170 pixels,"Màn hình super Retina XDR, OLED, 460 ppi, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay",3.22 GHz,4 GB,3240mAh,,
Samsung Galaxy A37 5G 8GB 128GB,9.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a37.html,6.7 inches,Super AMOLED,Camera chính: 50MPGóc siêu rộng 12MPMacro 5MP,12MP,Exynos 1480,Có,128 GB,,Android 16,1080 x 2340 pixels (FullHD+),Tần số quét: 120Hz1900 nits,4 nhân 2.75 GHz & 4 nhân 2 GHz,8 GB,5000 mAh,,
iPhone 16e 128GB | Chính hãng VN/A,12.990.000đ,https://cellphones.com.vn/iphone-16e.html,6.1 inches,Super Retina XDR,"Hệ thống camera 2 trong 1Fusion 48MP: 26 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels, ảnh có độ phân giải siêu cao (24MP và 48MP)Đồng thời hỗ trợ Telephoto 2x 12MP: 52 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels",Camera 12MP Khẩu độ ƒ/1.9 Camera TrueDepth hỗ trợ nhận diện khuôn mặt,Chip A18,Có,128 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2532 x 1170 pixels,Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1 (tiêu chuẩn) Độ sáng tối đa 800 nit (tiêu chuẩn); độ sáng đỉnh 1200 nit (HDR) Lớp phủ kháng dầu chống in dấu vân tay Thu Phóng Màn Hình,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,Thời gian xem video Lên đến 26 giờ Thời gian xem video (trực tuyến) Lên đến 21 giờThời gian nghe nhạc Lên đến 90 giờ,Sạc USB-C Sạc không dây (tương thích sạc không dây Qi lên đến 7.5W),
Samsung Galaxy S24 Plus 12GB 256GB,16.090.000đ,https://cellphones.com.vn/samsung-galaxy-s24-plus.html,6.7 inches,Dynamic AMOLED 2X,"Camera chính góc rộng: 50 MP, f/1.8, Dual Pixel PDAF, OISCamera tele: 10 MP, f/2.4, PDAF, OIS, zoom quang học 3xCamera góc siêu rộng: 12 MP, f/2.2, 120˚","12 MP, f/2.2",Exynos 2400,Có,256 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,"Android 14, One UI 6.1",3120 x 1440 pixels (Quad HD+),"120Hz, Độ sáng tối đa 2600 nits, Corning® Gorilla® Glass Victus® 2, 16 triệu màu","3.2GHz,2.9GHz,2.6GHz,1.95GHz",12 GB,"4,900mAh",,
Samsung Galaxy A26 5G 8GB 128GB,6.690.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a26.html,6.7 inches,Super AMOLED,50MP + 8MP + 2MP,13MP,Exynos 1380 (Quartz),Có,128 GB,2 Nano-SIM,Android 15,1080 x 2340 pixels (FullHD+),"Tần số quét 120Hz, 800 nits, Mặt kính Gorilla Glass Victus","2.4GHz,2GHz, Octa-Core",8 GB,5000 mAh,,
Xiaomi Redmi Note 14 5G 8GB 256GB,6.490.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-14-5g.html,6.67 inches,AMOLED,"108MP, ƒ/1.78MP góc siêu rộng, ƒ/2.22MP Macro, ƒ/2.4","20MP, ƒ/2.2",MediaTek Dimensity 7025 - Ultra,Có,256 GB,2 SIM (Nano-SIM),Xiaomi HyperOS,1080 x 2400 pixels (FullHD+),Tần số quét 120HzĐộ sáng 2100 nitsĐộ sâu màu 8 bitĐộ tương phản 5.000.000:1Giải màu rộng DCI-P3960Hz PWM dimmingCorning Gorilla Glass 5,"Octa-core processor, up to 2.5GHzTiền trình 6nm",8 GB,5110mAh,,
OPPO Find X8 16GB 512GB,19.490.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-x8.html,6.59 inches,AMOLED,50MP OIS (Chính) + 50MP (Chân dung Tele) + 50MP (Góc rộng),"32MP, khẩu độ F/2.4",MediaTek Dimensity 9400,Có,512 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,"ColorOS 15, nền tảng Android 15",1256 x 2760 pixels,"Tần số quét: 120Hz, Kính cường lực GG 7i  Độ sáng tối đa: 1600 nits  Màu sắc hiển thị: 1 tỷ màu",8 nhân,16 GB,5630 mAh,,
Điện thoại Meizu Mblu 22 Pro NFC 6GB 256GB,2.990.000đ,https://cellphones.com.vn/dien-thoai-meizu-mblu-22-pro-6gb-256gb.html,6.79 inches,TFT LCD,"50 MP, AF f/1.8Camera macro: 2 MP,  f/2.4","5 MP, f/2.0",MediaTek Helio G81,Có,256 GB,2 Nano-SIM,Android 15,720 x 1640 pixels,,Octa-core,6 GB,5000 mAh,,
Nubia Neo 3 GT 12GB 256GB,7.490.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-3-gt-12gb-256gb.html,6.8 inches,OLED,50MP + 2MP,16MP,Unisoc T9100,Có,256 GB,2 Nano-SIM,Android 15,1080 x 2392 pixels,FullHD+Tần số 120HzĐộ sáng cực đại 1300 nitGam màu DCI-P3 100%Tỷ lệ tương phản 1000000:1Tần số lấy mẫu cảm ứng tức thời 1200Hz,,12 GB,6000mAh,,
Xiaomi Redmi Note 15 Pro 12GB 256GB,9.590.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-15-pro.html,6.77 inches,AMOLED,200MP (chính) + 8MP (siêu rộng),32MP,MediaTek Helio G200-Ultra,,256 GB,,Xiaomi HyperOS 2,1080 x 2392 pixels,"Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, TÜV Rheinland",,12 GB,6500mAh,,
iPhone 17 Pro Max 2TB | Chính hãng,62.490.000đ,https://cellphones.com.vn/iphone-17-pro-max-2tb.html,6.9 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,2 TB,,iOS 26,2868 x 1320 pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,Tương thích với thiết bị trợ thính,
Samsung Galaxy A36 5G 8GB 128GB,7.490.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-a36.html,6.7 inches,Super AMOLED,"50.0 MP, F/1.8  + 8.0 MP, F/2.2  + 5.0 MP,  F/2.4","12.0 MP, F/2.2",Snapdragon 6 Gen 3,Có,128 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,Android,1080 x 2340 pixels (FullHD+),"16 triệu màu, 120 Hz, 1.200 nit, kính cường lực Corning Gorilla Glass Victus+","8 nhân 2.4GHz, 1.8GHz",8 GB,5000 mAh,,
Nubia Neo 5 5G 8GB 256GB,7.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-5-5g-8gb-256gb.html,6.8 inches,,50MP AF + 2MP,16MP FF,Unisoc T9300,Có,256 GB,2 Nano-SIM + eSIM,MyOS 16 (Dựa trên Android 16),,Độ phân giải màn hình: 1940 × 900pixelsĐộ sáng 1000 nits,Octa-core 2.4GHz,8 GB,6050mAh,,
iPhone 17 512GB | Chính hãng,29.990.000đ,https://cellphones.com.vn/iphone-17-512gb.html,6.3 inches,Super Retina XDR OLED,48MP Fusion Main f/1.6 OIS12MP Tele 2x f/1.6 OIS48MP Ultra Wide f/2.2 120°,"18MP Center Stage, f/1.9, PDAF",Apple A19,Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2622 x 1206  pixels,"Dynamic IslandMàn hình luôn bậtHDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng 1000 nit (typ)Đỉnh 1600 nit (HDR)Đỉnh 3000 nit (ngoài trời)Lớp phủ chống vân tay, chống phản chiếu",6 lõi (2 hiệu năng + 4 tiết kiệm điện),,,,
iPhone 16 Plus 128GB | Chính hãng VN/A,24.290.000đ,https://cellphones.com.vn/iphone-16-plus.html,6.7 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18,Có,128 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2796 x 1290-pixel,Dynamic IslandMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng tối đa 1000 nit460 ppiLớp phủ kháng dầu chống in dấu vân tayHỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,8 GB,,,
Xiaomi POCO F8 Pro 5G 12GB 256GB,13.990.000đ,https://cellphones.com.vn/dien-thoai-poco-f8-pro-5g.html,6.59 inches,AMOLED,"50MP chính (Light Fusion 800, 1/1.55"", f/1.88, OIS, 6P) + 50MP tele 60mm (f/2.2) + 8MP góc siêu rộng (f/2.2)",20MP,Snapdragon® 8 Elite,Có,256 GB,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,Xiaomi HyperOS 3,2510 x 1156 pixels,"Độ sáng tối đa 3500 nitsTỷ lệ tương phản 5.000.000:1Độ sáng HBM 2000 nits68 tỷ màu | Dải màu rộng DCI-P3Cảm ứng kháng nước 2.0Chứng nhận TUV (ánh sáng xanh thấp, chống nhấp nháy, nhịp sinh học)",8 nhân,12 GB,6210mAh,,
iPhone 17 Pro 1TB | Chính hãng,45.990.000đ,https://cellphones.com.vn/iphone-17-pro-1tb.html,6.3 inches,Super Retina XDR,Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MPGóc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x,Camera 18MP Center Stage Khẩu độ ƒ/1.9,Chip A19 Pro,Có,1 TB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 26,2622 x 1206  pixels,"Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,,
Samsung Galaxy S26 Ultra 12GB 512GB,36.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra-12gb-512gb.html,6.9 inches,Dynamic AMOLED 2X,Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP,12MP,Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm),Có,512 GB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,12 GB,5000 mAh,,
Nothing Phone 2A Plus 5G 12GB 256GB,8.290.000đ,https://cellphones.com.vn/dien-thoai-nothing-phone-2a-plus.html,6.7 inches,Flexible AMOLED On-cell,"Camera chính: 50 MP, f/1.88, 1/1.57""Camera góc siêu rộng: 50 MP, f/2.2, 1/2.76""","50 MP, f/2.2, 1/2.76""",MediaTek Dimensity 7350 Pro 5G,Có,256 GB,2 SIM (Nano-SIM),Android 14,1080 x 2412 pixels,"1300 nits120 Hz, 1,07 tỷ màu",Up to 3.0 GHz,12 GB,5000 mAh,,
Nubia Neo 3 4G 8GB 128GB,4.790.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-3-4g.html,6.8 inches,,50MP + 2MP,16MP,Unisoc T8100,Có,128 GB,2 Nano-SIM,,,Độ phân giải màn hình: 900 x 2030 pixel (FHD)Tần số: 120HzĐộ sáng: 530 nits16.7 tỷ màuIPS,Octa-Core (4*Cortex-A76 @ 2.2GHz + 4*Cortex-A55 @2.0GHz),8 GB,6000mAh,,
Xiaomi Redmi Note 15 Pro 5G 12GB 256GB,10.890.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-15-pro-5g.html,6.83 inches,AMOLED,"Camera chính: 200MP, OIS, f/1.7Camera góc siêu rộng: 8MP, f/2.2","20MP, f/2.2",MediaTek Dimensity 7400-Ultra,Có,256 GB,2 Nano SIM hoặc 1 Nano + 1 eSIM,Xiaomi HyperOS 2,2772 x 1280 pixels,"Tần số quét: lên đến 120HzDCI-P3 rộng, độ sâu màu 12-bitPWM dimming 3840HzĐộ sáng: 3200 nits1800 nits (HBM)Tỷ lệ tương phản: 8,000,000:1Điều chỉnh độ sáng tự động 16,000 cấp",8 nhân lên đến 2.6 GHz,12 GB,6580mAh(typ),,
Sony Xperia 10 VII 8GB 128GB,10.500.000đ,https://cellphones.com.vn/dien-thoai-sony-xperia-10-vii.html,6.1 inches,FHD+ OLED,"50MP (F1.9, 24mm, 84°) + 13MP (F2.4, 16mm, 123°)","8MP (F2.0, 26mm, 78°)",Snapdragon® 6 Thế hệ 3,Có,128 GB,2 Nano-SIM,Android™ 15,1080 x 2340 pixels (FullHD+),"Tần số quét 120Hz, cảm ứng 120Hz, DCI-P3 100%, Triluminous display, chuyển giữa nhiều cửa sổ",,8 GB,5.000 mAh,,
Samsung Galaxy S25 256GB,17.690.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25.html,6.2 inches,Dynamic AMOLED 2X,Camera siêu rộng 12MP  Camera góc rộng 50MPCamera Tele 10MP,12MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,256 GB,2 Nano SIM hoặc 2 eSIM hoặc 1 Nano SIM + 1 eSIM,,2340 x 1080-pixel,120Hz2600 nitsCorning® Gorilla® Armor 2,"Tốc độ CPU 4.47GHz, 3.5GHz  8 nhân",12 GB,4000 mAh,,
TECNO Spark 40 Pro+ 8GB 256GB,4.890.000đ,https://cellphones.com.vn/dien-thoai-tecno-spark-40-pro-plus.html,6.78 inches,AMOLED,50 MP,13 MP,MediaTek Helio G200,,256 GB,2 SIM (Nano-SIM),Android 15,,1224 x 2720 pixels6.78'' 144Hz & 1.5K 3D AMOLED Display,,8 GB,"5200mAh, 45W",,
Nubia Neo 5 GT 12GB 256GB,9.990.000đ,https://cellphones.com.vn/dien-thoai-nubia-neo-5-gt-12gb-256gb.html,6.8 inches,AMOLED,50MP AF + 2MP,16MP FF,MediaTek D7400,Có,256 GB,2 Nano-SIM + eSIM,MyOS 16 (dựa trên Android 16),,Độ phân giải màn hình 1.5KĐộ sáng 4500 nits,Octa-core 2.6GHz,12 GB,6210mAh,,
OPPO A6 Pro 8GB 256GB,9.090.000đ,https://cellphones.com.vn/dien-thoai-oppo-a6-pro.html,6.57 inches,AMOLED,"50MP (Chính, f/1.8) + 2MP (Mono, f/2.4), có đèn flash","16MP, f/2.4","MediaTek Helio G100, tối đa 2.2GHz",Có,256 GB,2 Nano SIM (Sim 2 chung khe với thẻ nhớ),ColorOS 15 (Android 15),1080 x 2372 pixels (FullHD+),"1 tỷ màu, Độ sáng tối đa 1400 nits","8 nhân, tối đa 2.2GHz",8 GB,7000mAh,,
Xiaomi Redmi 15 5G 8GB 256GB,6.190.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-15-5g-8gb-256gb.html,6.9 inches,IPS LCD,"50MP, Ống kính -5P, f/1.8",8MP f/2.05,Snapdragon® 6s Gen 3,Có,256 GB,2 SIM (Nano-SIM),Xiaomi HyperOS 2,2340 x 1080-pixel,"Độ sáng 700 nits850 nits (HBM)Tỉ lệ tương phản 1400:1Cảm ứng 288HzĐạt chứng nhận TÜV Rheinland: Giảm ánh sáng xanh, Không nhấp nháy, Thân thiện nhịp sinh học","Kryo, up to 2.3GHz",8 GB,7000mAh,,
iPhone 16e 256GB | Chính hãng VN/A,15.490.000đ,https://cellphones.com.vn/iphone-16e-256gb.html,6.1 inches,Super Retina XDR,"Hệ thống camera 2 trong 1Fusion 48MP: 26 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels, ảnh có độ phân giải siêu cao (24MP và 48MP)Đồng thời hỗ trợ Telephoto 2x 12MP: 52 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels",Camera 12MP Khẩu độ ƒ/1.9 Camera TrueDepth hỗ trợ nhận diện khuôn mặt,Chip A18,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2532 x 1170 pixels,Màn hình HDR True Tone Dải màu rộng (P3) Haptic Touch Tỷ lệ tương phản 2.000.000:1 (tiêu chuẩn) Độ sáng tối đa 800 nit (tiêu chuẩn); độ sáng đỉnh 1200 nit (HDR) Lớp phủ kháng dầu chống in dấu vân tay Thu Phóng Màn Hình,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,Thời gian xem video Lên đến 26 giờ Thời gian xem video (trực tuyến) Lên đến 21 giờThời gian nghe nhạc Lên đến 90 giờ,Sạc USB-C Sạc không dây (tương thích sạc không dây Qi lên đến 7.5W),
Xiaomi 15 Ultra 5G 16GB 512GB,26.490.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-15-ultra.html,6.73 inches,AMOLED,"Camera chính Leica: 50MP, ƒ/1.63, OIS Camera tele Leica: 50MP, ƒ/1.8, OIS Camera siêu tele Leica: 200MP, ƒ/2.6, OIS Camera góc siêu rộng Leica: 50MP, ƒ/2.2, 115° FOV","Camera trước: 32MP, ƒ/2.0, 90° FOV Cảm biến OV32B Tiêu cự 21mm",Snapdragon 8 Elite (Tiến trình sản xuất 3nm),Có,512 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,Xiaomi HyperOS 2,3200 x 1440 pixel,"68 tỷ màuTần số quét 1-120HzTốc độ phản hồi cảm ứng 300HzĐộ sáng tối đa 3200 nits trong nhiều tình huống Điều chỉnh độ sáng PWM 1920Hz/DC dimmingOriginal color PRO | Pro HDR | Công nghệ cảm ứng khi ướtHDR10+, Dolby Vision","2 x Lõi Prime, tốc độ tối đa 4,32GHz6 x Lõi hiệu suất, lên đến 3,53GHz",16 GB,5410mAh,,
OPPO Find X9 Pro 16GB 512GB,31.990.000đ,https://cellphones.com.vn/dien-thoai-oppo-find-x9-pro.html,6.78 inches,AMOLED,50MP OIS (Chính) + 200MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono),50MP; f/2.0; FOV 90°; Ống kính 5P; Hỗ trợ lấy nét AF,Dimensity 9500 5G,Có,512 GB,Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,"ColorOS 16, nền tảng Android 16",,"Độ phân giải: 1272 x 2772 (1.5K+), 120Hz refresh rate, 240Hz touch sampling, 1.07 tỷ màu (10-bit), 100% DCI-P3, 800 nits, HBM 1800 nits, Gorilla Glass Victus 2",8 nhân,16 GB,7500mAh,,
iPhone 16 Plus 256GB | Chính hãng VN/A,27.690.000đ,https://cellphones.com.vn/iphone-16-plus-256gb.html,6.7 inches,Super Retina XDR OLED,"Camera chính: 48MP, f/1.6, 26mm, Focus Pixels 100%, hỗ trợ ảnh có độ phân giải siêu cao Camera góc siêu rộng: 12MP, ƒ/2.2, 13 mm, Focus Pixels 100%, Độ phóng đại quang học 2x, độ thu nhỏ quang học 2x; phạm vi thu phóng quang học 4x Độ thu phóng kỹ thu","12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels",Apple A18,Có,256 GB,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,iOS 18,2796 x 1290-pixel,Dynamic IslandMàn hình HDRTrue ToneDải màu rộng (P3)Haptic TouchTỷ lệ tương phản 2.000.000:1Độ sáng tối đa 1000 nit460 ppiLớp phủ kháng dầu chống in dấu vân tayHỗ trợ hiển thị đồng thời nhiều ngôn ngữ và ký tự,CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,,,,
OPPO Reno10 Pro+ 5G 12GB 256GB,10.490.000đ,https://cellphones.com.vn/oppo-reno10-pro-plus.html,6.74 inches,AMOLED,"Camera góc rộng: 50 MPKính tiềm vọng: 64 MP, PDAF, 5x optical zoomCamera góc siêu rộng: 8 MP, f/2.2","Camera góc rộng: 32 MP, f/2.4",Snapdragon 8 plus Gen 1 8 nhân,Có,256 GB,2 SIM (Nano-SIM),Android 13,1240 x 2772 pixels,"1 tỷ màu, tần số quét 120Hz, HDR10+, 1100 nits, Kính cường lực AGC DT-Star2",1x3.0 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510,12 GB,4700 mAh,,
Samsung Galaxy S25 Plus 256GB,20.690.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-plus.html,6.7 inches,Dynamic AMOLED 2X,Camera siêu rộng 12MP  Camera góc rộng 50MPCamera Tele 10MP,12MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,256 GB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),120Hz2600 nitsCorning® Gorilla® Armor 2,"Tốc độ CPU: 4.47GHz, 3.5GHz  8 nhân",12 GB,4900 mAh,,
Samsung Galaxy S25 Ultra 512GB,29.790.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-ultra-512gb.html,6.9 inches,Dynamic AMOLED 2X,"Camera siêu rộng 50MPCamera góc rộng 200 MPCamera Tele (5x) 50MPCamera Tele (3x) 10MP""",12 MP,Snapdragon 8 Elite dành cho Galaxy (3nm),Có,512 GB,2 Nano-SIM + eSIM,Android 15,3120 x 1440 pixels (Quad HD+),120Hz2600 nitsCorning® Gorilla® Armor 2,,12 GB,5000 mAh,,
HONOR X9d 5G 12GB 512GB,12.190.000đ,https://cellphones.com.vn/dien-thoai-honor-x9d.html,6.79 inches,AMOLED,Camera chính 108MP (F1.75) + Camera góc rộng 5MP (F2.2),16MP (F2.45),Snapdragon 6 Gen 4,Có,512 GB,2 Nano-SIM,MagicOS 9.0 (Dựa trên Android 15）,1200 x 2640 pixels,"100% DCI-P3, 1,07 tỷ màu800 nits (điển hình), 1800 nits (chế độ HBM), 6000 nits (chế độ APL)Bảo vệ mắtMàn hình ban đêm sinh họcGiảm độ sáng độngKhử nháy sáng PWM 3840Hz",8 nhân (1× A720 2.3GHz + 3× A720 2.2GHz + 4× A520 1.8GHz),12 GB,8300 mAh,,
HONOR Magic V5 16GB 512GB,39.990.000đ,https://cellphones.com.vn/dien-thoai-honor-magic-v5.html,6.43 inches,OLED,"Camera góc siêu rộng 50MP (khẩu độ f/2.0)Camera góc rộng 50MP (khẩu độ f/1.6, OIS)Camera tele 64MP (khẩu độ f/2.5, OIS)",Màn hình trong: Camera góc rộng 20MP (f/2.2)Màn hình ngoài: Camera góc rộng 20MP (f/2.2),Qualcomm Snapdragon 8 Elite,Có,512 GB,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,MagicOS 9.0.1 (Dựa trên Android 15),,"Màn hình trong: 2352 x 2172 pixelMàn hình ngoài: 2376 x 1060 pixel1,07 tỷ màu, Màn hình chăm sóc mắt cận thị AI, tần số 4320Hz PWM giảm nháy sáng, Điều chỉnh độ sáng động, Màn hình đêm theo nhịp sinh học, Màn hình tông màu tự nhiên","Tám nhân (2×Prime 4,32 GHz+6×Performance 3,53 GHz)",16 GB,5820 mAh,,
Xiaomi Redmi Note 15 5G 6GB 128GB,6.790.000đ,https://cellphones.com.vn/dien-thoai-xiaomi-redmi-note-15-5g.html,6.77 inches,AMOLED,Camera chính 108MP ƒ/1.7 OIS + Camera siêu rộng 8MP ƒ/2.2,20MP ƒ/2.2,Snapdragon® 6 Gen 3,,128 GB,,Xiaomi HyperOS 2,1080 x 2392 pixels,"Độ sáng tối đa 3200 nits, 12-bit, DCI-P3, PWM 3840Hz, chứng nhận TÜV Rheinland",,6 GB,5520mAh,,
Samsung Galaxy S26 Ultra 16GB 1TB,41.990.000đ,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s26-ultra-16gb-1tb.html,6.9 inches,Dynamic AMOLED 2X,Camera siêu rộng: 50MPCamera góc rộng: 200MPCamera Tele (5x): 50MPCamera Tele (3x): 10MP,12MP,Snapdragon 8 Elite Gen 5 dành cho Galaxy (3nm),Có,1 TB,2 Nano-SIM + eSIM,,3120 x 1440 pixels (Quad HD+),Tần số quét: 1-120HzĐộ sáng tối đa: 2600 nits,,16 GB,5000 mAh,,
